team,record,new_record,diff,gwd,gld
MIA,8-9,8-9,0,3,3
DET,15-2,11-6,-4,4,0
ATL,8-9,8-9,0,3,3
KC,15-2,8-9,-7,7,0
LV,4-13,3-14,-1,2,1
WAS,12-5,9-8,-3,5,2
NYJ,5-12,9-8,4,3,7
SEA,10-7,8-9,-2,4,2
PIT,10-7,10-7,0,2,2
PHI,14-3,12-5,-2,4,2
LA,10-7,7-10,-3,5,2
DEN,10-7,10-7,0,3,3
HOU,10-7,12-5,2,2,4
ARI,8-9,7-10,-1,3,2
BAL,12-5,12-5,0,2,2
DAL,7-10,8-9,1,1,2
JAX,4-13,9-8,5,2,7
BUF,13-4,12-5,-1,2,1
IND,8-9,5-12,-3,5,2
GB,11-6,10-7,-1,3,2
CLE,3-14,4-13,1,2,3
NE,4-13,7-10,3,1,4
TEN,3-14,4-13,1,2,3
CAR,5-12,4-13,-1,4,3
MIN,14-3,10-7,-4,5,1
SF,6-11,9-8,3,1,4
LAC,11-6,13-4,2,2,4
NO,5-12,9-8,4,1,5
TB,10-7,11-6,1,2,3
CIN,9-8,11-6,2,2,4
CHI,5-12,7-10,2,1,3
NYG,3-14,5-12,2,0,2
